Date,Amount,Description,
Nov-06,3.08,7528 Debit Card Purchase Ba C-Store Cafe,2
Nov-06,5,7528 Debit Card Purchase,5
Nov-06,2.49,POS Purchase Cedar Hill Rac Cleveland Oh,2
Nov-07,5.95,7528 Debit Card Purchase Insomnia Cookies-,2
Nov-07,5.42,POS Purchase Cedar Hill Rac Cleveland Oh,2
Nov-08,4.32,7528 Debit Card Purchase Ba C-Store Cafe,2
Nov-08,14.38,7528 Debit Card Purchase Rascal House,2
Nov-10,11.15,7528 Debit Card Purchase Chipotle 3828,2
Nov-13,30,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Nov-13,5.99,POS Purchase Cedar Hill Rac Cleveland Oh,2
Nov-13,9.45,7528 Debit Card Purchase Chipotle 3828,2
Nov-13,12.92,7528 Debit Card Purchase Lyft  855-8659553,5
Nov-14,2.15,7528 Debit Card Purchase Arbys 1833  South,2
Nov-16,50,7528 Debit Card Purchase Actblue*,5
Oct-20,20,Zel To Sean Rudolph,2
Nov-03,728.78,Zel To Cleveland Premium Rentals,4
Nov-07,300,Web Pmt Recur- Payment Deserve Inc,1
Nov-15,486.99,Web Pmt- Remittance Remitly Inc,6
Sep-19,11.96,7528 Debit Card Purchase Lyft  855-8659553,5
Sep-25,63.44,7528 Debit Card Purchase Paypal *Khan,5
Sep-25,5.22,7528 Debit Card Purchase Paypal *Khan,5
Sep-29,200,7528 Debit Card Purchase Paypal *Khan,5
Oct-02,30,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Oct-02,6.49,7528 Recurring Debit Card Google  650-,5
Oct-06,37.97,7528 Debit Card Purchase Tst* Indian Flame,2
Oct-10,30,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Oct-10,5.4,7528 Debit Card Purchase The Fairmount,2
Oct-10,3.65,7528 Debit Card Purchase Starbucks Store,2
Oct-10,8.68,7528 Debit Card Purchase Arbys 1833  South,2
Oct-10,10.88,7528 Debit Card Purchase Lyft  855-8659553,5
Oct-12,107.99,7528 Debit Card Purchase Paypal *Khan,1
Oct-12,20,7528 Debit Card Purchase Paypal *Khan,1
Oct-16,25.85,7528 Debit Card Purchase Indian Restaurant,2
Oct-16,4.98,POS Purchase Cedar Hill Rac Cleveland Oh,2
Oct-16,176.51,7528 Debit Card Purchase Paypal *Khan,5
Oct-16,20.83,7528 Debit Card Purchase Paypal *Khan,5
Oct-18,35.47,7528 Debit Card Purchase Tst* Cilantro,2
Sep-22,19,Zel To Jamilah Abdul-Haqq,2
Sep-22,4,Zel To Sean Rudolph,2
Sep-29,20,Zel To Sean Rudolph,2
Sep-29,730.62,Zel To Cleveland Premium Rentals,4
Oct-10,6,Zel To Sean Rudolph,2
Oct-10,150,Zel To Brandon Player,8
Oct-11,486.99,Web Pmt- Remittance Remitly Inc,6
Oct-18,250,Zelle To  Mohammed Azeez,7
Nov-20,9.91,7528 Debit Card Purchase Lyft  855-8659553,5
Nov-20,30,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Nov-20,15.85,7528 Debit Card Purchase Algebra Teahouse,2
Nov-20,5.4,7528 Debit Card Purchase Algebra Teahouse,2
Nov-20,9.45,7528 Debit Card Purchase Chipotle 3828,2
Nov-21,2.49,7528 Debit Card Purchase Sheetz 0552,5
Nov-22,16.99,7528 Debit Card Purchase Lyft  855-8659553,5
Nov-22,5.18,7528 Debit Card Purchase Rascal House,2
Nov-22,4.78,7528 Debit Card Purchase Rascal House,2
Nov-24,41,7528 Debit Card Purchase Paypal *Khan,5
Nov-27,105.3,7528 Debit Card Purchase Nike.Com Ap,5
Nov-27,31,7528 Debit Card Purchase Sq *Uqbah Mosque,3
Nov-27,87.45,7528 Debit Card Purchase Paypal *Khan,5
Nov-27,55.31,7528 Debit Card Purchase Paypal *Khan,5
Nov-27,14.03,7528 Debit Card Purchase Paypal *Khan,5
Nov-27,59.5,7528 Debit Card Purchase Paypal *Khan,5
Nov-27,300,7528 Debit Card Purchase Paypal *Khan,5
Nov-27,39,7528 Debit Card Purchase Paypal *Khan,5
Nov-29,50,7528 Debit Card Purchase Paypal *Khan,5
Nov-29,100,7528 Debit Card Purchase Paypal *Khan,5
Dec-07,37.37,7528 Debit Card Purchase Cheesecake,2
Dec-08,26.88,7528 Debit Card Purchase Indian Restaurant,2
Dec-08,5,7528 Debit Card Purchase Sq *The Cleveland,2
Dec-08,7.88,POS Purchase Walgreens Stor Cleveland He,2
Dec-11,71.28,7528 Debit Card Purchase Tst* Zhug,2
Dec-11,10.74,7528 Debit Card Purchase Lyft  855-8659553,5
Dec-11,5.35,7528 Debit Card Purchase Ba C-Store Cafe,2
Dec-12,2.59,POS Purchase Walgreens Stor Cleveland He,2
Dec-14,6.49,7528 Recurring Debit Card Google  650-,5
Dec-14,3.88,POS Purchase Walgreens Stor Cleveland He,2
Nov-20,36,Zel To Kalifashadh Rahamathulla,2
Dec-04,728.16,Zel To Cleveland Premium Rentals,4
Dec-06,26,Web Pmt- IAT Paypal,5
Dec-08,150,Zel To Brandon Player,8
